SECTION_INSTRUCTOR_TIME_TREATMENT_STUDENT,Read_B4,Bk_Notes,Re_read,Resources,Q_Notes,Peer_?s,Inst_?s,Peer_Comm,connections
D.6.A.F.6,4,4,2,3,1,5,5,4,3
D.6.A.F.7,5,5,2,3,3,4,5,4,3
D.6.A.F.8,4,4,2,2,4,5,5,4,3
D.6.A.F.9,3,4,4,2,4,3,4,4,2
D.6.A.F.10,4,2,1,3,2,5,5,4,3
D.6.A.F.11,5,5,4,1,1,4,5,5,3
D.6.A.F.12,5,5,2,1,3,4,5,1,1
D.6.A.F.13,5,4,4,3,3,5,5,4,5
D.6.A.F.14,4,5,3,5,3,5,5,2,1
D.6.A.F.15,5,4,1,1,1,5,5,3,3
D.6.A.F.16,4,3,1,2,1,4,5,3,2
D.6.A.F.17,5,5,3,1,3,5,5,5,3
D.6.A.F.19,4,3,3,2,2,3,5,2,2
D.6.A.F.21,4,4,2,2,2,4,5,4,3
D.6.A.F.22,5,3,3,3,5,4,1,3,3
A.1.A.T.1,4,4,2,3,2,5,5,4,1
A.1.A.T.2,2,4,1,1,3,3,4,2,3
A.1.A.T.5,4,3,2,2,1,5,5,1,1
A.1.A.T.6,4,3,2,3,4,4,4,4,3
A.1.A.T.7,1,1,1,2,2,3,3,3,1
A.1.A.T.8,5,4,4,4,5,5,5,5,1
A.1.A.T.9,3,4,2,1,3,4,4,1,1
A.1.A.T.10,5,5,3,1,1,4,5,2,4
A.1.A.T.13,3,3,2,1,2,3,3,3,3
A.1.A.T.15,3,4,3,2,3,4,4,4,5
A.1.A.T.16,5,5,5,3,1,2,5,1,1
A.1.A.T.18,1,1,1,1,1,4,4,3,1
A.1.A.T.19,5,1,1,2,1,2,3,1,3
A.1.A.T.20,3,1,2,1,3,5,5,5,1
A.1.A.T.21,5,3,3,3,3,5,5,5,4
B.2.P.T.1,2,2,3,2,2,4,4,3,2
B.2.P.T.2,4,4,5,4,5,4,4,4,2
B.2.P.T.3,4,5,1,4,1,4,5,1,1
B.2.P.T.4,4,4,3,2,1,2,3,3,1
B.2.P.T.5,4,2,2,1,1,2,3,1,1
B.2.P.T.7,4,3,2,4,2,5,5,5,3
B.2.P.T.8,4,4,4,4,3,4,4,3,1
B.2.P.T.9,4,2,4,4,3,5,5,5,1
B.2.P.T.10,4,1,4,3,2,4,5,4,2
B.2.P.T.11,4,4,1,1,3,4,4,2,5
B.2.P.T.12,4,4,2,1,1,1,5,1,3
B.2.P.T.13,4,4,4,2,1,4,4,4,1
B.2.P.T.14,3,4,3,3,3,4,4,3,2
B.2.P.T.15,5,5,5,2,2,4,2,2,2
B.2.P.T.16,3,2,1,4,5,3,3,3,3
B.2.P.T.17,4,4,3,4,3,4,3,5,3
B.2.P.T.18,5,5,5,4,3,5,5,4,2
B.2.P.T.19,5,5,4,4,5,5,5,5,4
B.2.P.T.20,3,1,2,1,5,4,2,4,3
B.2.P.T.21,3,4,3,2,4,3,2,3,3
B.2.P.T.22,5,5,5,3,5,5,5,3,1
G.5.N.T.3,5,5,5,4,4,5,5,3,3
G.5.N.T.4,5,5,4,2,3,5,4,5,4
G.5.N.T.5,5,5,2,2,5,4,3,3,4
G.5.N.T.6,3,1,1,1,1,3,2,2,1
G.5.N.T.7,4,2,3,3,2,5,3,5,2
G.5.N.T.8,4,5,4,4,4,5,5,5,5
G.5.N.T.9,5,4,2,2,2,3,4,2,2
G.5.N.T.10,4,3,2,4,4,4,4,4,1
G.5.N.T.11,5,5,5,5,5,5,5,5,1
G.5.N.T.12,4,4,5,5,4,5,5,5,4
G.5.N.T.13,4,1,1,1,1,5,5,3,2
G.5.N.T.14,3,3,1,1,1,5,4,4,1
G.5.N.T.15,4,2,1,3,1,5,4,1,1
G.5.N.T.16,5,5,5,4,4,5,5,5,3
G.5.N.T.17,5,5,5,4,2,4,4,4,2
G.5.N.T.19,5,4,2,4,4,4,4,2,4
G.5.N.T.20,4,4,3,2,3,3,3,3,2
E.6.P.T.1,4,4,4,2,2,4,4,3,1
E.6.P.T.2,5,5,4,2,1,5,5,5,4
E.6.P.T.4,2,2,2,3,2,3,3,3,2
E.6.P.T.8,4,2,2,4,2,1,4,3,1
E.6.P.T.9,5,5,2,4,2,5,5,5,5
E.6.P.T.10,3,3,2,4,2,4,3,3,2
E.6.P.T.11,2,2,1,1,1,5,5,3,1
E.6.P.T.14,5,5,5,1,1,4,5,4,1
E.6.P.T.15,4,4,2,2,2,5,5,4,2
E.6.P.T.16,4,5,3,4,4,3,3,2,1
E.6.P.T.17,3,3,5,3,3,5,5,4,5
E.6.P.T.18,4,4,4,4,3,4,4,3,2
E.6.P.T.19,5,4,1,1,1,4,5,3,2
E.6.P.T.20,3,3,2,3,2,3,3,3,3
